IDviis,FKey,VNr,Nr,voti,alter,tugiheli,korgus,tempo,takt,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,markusi,viis
68,245,2,,&,#f,g,b,,,2d,h,h,g,h,a,a,f[g],2c,a,a,f,a,g,g,g,,alg
69,246,1,,&,,g,,,,2d,2d,2c,h,2d,h,h,a,2c,h,a,g,h,g,g,g,,
70,247,1,,&,#f,g,g1=Fis,,,2d,2d,2d,2c,h,a,a,h,2c,h,2c,a,a,g,g,g,,
71,4492,1,,&,#f,g,h,84,24,g,d,2c,2c,h,a,g,e,e,d,d[h][a],a[f],a,f [a][a/f],g,g,,
72,4563,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,4563
74,248,1,,&,#f,g,,,,2d,h,g,g,h,a,f,a,2c,a,f,f,g,g,g,h,,
75,249,1,,&,#f,g,,,,2d,h,g,2d,h,g,g,g,2d,h,f,2d,h,g,g,g,,
76,250,1,,&,#f,g,,,,2d,h,g,2d,2c,a,f,a,2c,a,f,2d,h,g,g,g,,
77,251,1,,&,bh,f;a,,,,2c,a,2d,2c,h,g,g,a,2c,h,h,g,h,a,a,a,,
78,252,1,,&,#f;#c;#g,#c,,,,2e,2d,2c,2d,2e,2c,2c,2c,2d,2c,h,h,2e,2d,2c,2c,,252
79,253,1,,&,#f;#c;#g,a;#c,,,,2e,2d,2c,2d,2e,2c,2c,2c,2d,2c,h,h,2e,2d,2c,2c,,253
80,254,1,,&,#f;#c;#g,a;#c,,,,2e,2d,2c,2d,2e,2c,2c,2c,2d,2c,h,h,2e,2d,2c,2c,,254
81,255,1,,&,#f,g,,,,2d,h,2d,2e,2d,2c,a,2d,h,g,a,2c,h,g,g,g,,
82,256,1,,&,bh,f;g,,,,g[2c],a,h,2d,2c,a,h,g,2c,a,h,g,g,f,f,f,Viisi nr. 8 iseäralisus on see; et nad teises helitõus lõpevad kui selles; milles nad algasid. Viisi nr. 8 nimetas L. Lõikuse-lauluks. pag. 2488.,256
83,257,1,,&,bh,f;g,,,,g[2c],a,h,2d,2c,a,h,g,2c,a,h,g,g,f,f,f,Viisi nr. 8 iseäralisus on see; et nad teises helitõus lõpevad kui selles; milles nad algasid. Viisi nr. 8 nimetas L. Lõikuse-lauluks. pag. 2488.,257
84,258,1,,&,#f;#c,d,,,,f,g,h,g,a,f,f,a,g,e,e,g,f,d,d,d,,
85,259,1,,&,bh,f,,,,2c,a,2d,2c,h,a,f,a,2c,h,g,f,e,g,f,f,,
86,260,1,,&,,a;g,,,,g,h\2c,2d,h,2c,h,a,a,2e,h,2c,a,g,h,a,a,,260
87,261,1,,&,,a;g,,,,g,h\2c,2d,h,2c,h,a,a,2e,h,2c,a,g,h,a,a,,261
88,262,1,,&,,a;g,,,,g,h\2c,2d,h,2c,h,a,a,2e,h,2c,a,g,h,a,a,,262
89,263,1,,&,#f,h;g?,,1/8=240,,2d,2c,2d,2e,2e,2d,2d,h,2d,2c,2c,a,2e,2d,2d,h,,
90,264,1,,&,,c,,,,g,g,2c,2c,g,g,e,c,a,a,g,g,g,g,e[2c],c[2c],,
91,265,1,,&,#f,d,,,,g,g,f,d,g,e,d,1h,c,d,1h,1a,c,e,d,d,,
92,266,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,266
93,267,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,267
94,268,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,268
95,269,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,269
96,270,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,270
97,271,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,271
98,272,1,,&,#f,g,,,,h,2d,h,2c,h,g,2d,h,a,g,2c,h,a[h],g,g,g,,272
1,177,1,,&,,g,,,C,g,a,h,h,h,h,a,g,h,h,h,h[a],a[h],a,g,g,,
